Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,2PM,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
72,2013,2013-10-27,8,8,25.262,DET,,DAL,W 31-30,*,33,48,68.75,488,1,2,91.3,1,8,10.17,8.71,3,12,4.00,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,80,100%,0,0%,0,0%,
73,2013,2013-11-10,9,10,25.276,DET,@,CHI,W 21-19,*,18,35,51.43,219,3,1,87.7,0,0,6.26,6.69,2,-1,-0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,0,-4,0,62,100%,0,0%,0,0%,
74,2013,2013-11-17,10,11,25.283,DET,@,PIT,L 27-37,*,19,46,41.30,362,2,1,74.7,2,18,7.87,7.76,3,24,8.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,73,100%,0,0%,0,0%,
75,2013,2013-11-24,11,12,25.290,DET,,TAM,L 21-24,*,26,46,56.52,297,3,4,61.6,2,11,6.46,3.85,2,6,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,76,100%,0,0%,0,0%,
76,2013,2013-11-28,12,13,25.294,DET,,GNB,W 40-10,*,22,35,62.86,330,3,2,98.5,1,10,9.43,8.57,1,8,8.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,79,98%,0,0%,0,0%,
77,2013,2013-12-08,13,14,25.304,DET,@,PHI,L 20-34,*,10,25,40.00,151,0,0,60.6,0,0,6.04,6.04,6,-1,-0.17,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,5,1,0,3,-24,0,61,100%,0,0%,0,0%,
78,2013,2013-12-16,14,15,25.312,DET,,BAL,L 16-18,*,18,34,52.94,235,1,3,48.0,1,5,6.91,3.53,2,9,4.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,65,100%,0,0%,0,0%,
79,2013,2013-12-22,15,16,25.318,DET,,NYG,L 20-23,*,25,42,59.52,222,0,2,53.9,2,15,5.29,3.14,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,85,100%,0,0%,0,0%,
80,2013,2013-12-29,16,17,25.325,DET,@,MIN,L 13-14,*,22,33,66.67,217,1,0,95.1,5,35,6.58,7.18,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,60,100%,0,0%,0,0%,
81,2014,2014-09-08,1,1,26.213,DET,,NYG,W 35-14,*,22,32,68.75,346,2,0,125.3,1,5,10.81,12.06,4,2,0.50,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,67,100%,0,0%,0,0%,
82,2014,2014-09-14,2,2,26.219,DET,@,CAR,L 7-24,*,27,48,56.25,291,1,1,72.5,4,38,6.06,5.54,1,8,8.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,72,100%,0,0%,0,0%,
83,2014,2014-09-21,3,3,26.226,DET,,GNB,W 19-7,*,22,34,64.71,246,0,2,61.6,2,8,7.24,4.59,6,8,1.33,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,75,100%,0,0%,0,0%,
84,2014,2014-09-28,4,4,26.233,DET,@,NYJ,W 24-17,*,24,34,70.59,293,2,0,116.4,4,21,8.62,9.79,6,8,1.33,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,0,0,0,0,0,0,0,0,65,100%,0,0%,0,0%,
85,2014,2014-10-05,5,5,26.240,DET,,BUF,L 14-17,*,18,31,58.06,231,1,1,78.8,6,27,7.45,6.65,3,8,2.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,2,0,0,1,0,0,62,100%,0,0%,0,0%,
86,2014,2014-10-12,6,6,26.247,DET,@,MIN,W 17-3,*,19,33,57.58,185,1,0,83.5,4,30,5.61,6.21,1,1,1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,70,100%,0,0%,0,0%,
87,2014,2014-10-19,7,7,26.254,DET,,NOR,W 24-23,*,27,40,67.50,299,2,2,85.3,3,14,7.48,6.23,2,1,0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,
88,2014,2014-10-26,8,8,26.261,DET,@,ATL,W 22-21,*,24,47,51.06,325,2,1,78.8,0,0,6.91,6.81,3,9,3.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,0,0,0,-5,0,75,100%,0,0%,0,0%,
89,2014,2014-11-09,9,10,26.275,DET,,MIA,W 20-16,*,25,40,62.50,280,2,1,89.6,3,19,7.00,6.88,2,-1,-0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,67,100%,0,0%,0,0%,
90,2014,2014-11-16,10,11,26.282,DET,@,ARI,L 6-14,*,18,30,60.00,183,0,1,63.6,4,19,6.10,4.60,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,56,100%,0,0%,0,0%,
91,2014,2014-11-23,11,12,26.289,DET,@,NWE,L 9-34,*,18,46,39.13,264,0,1,49.5,2,20,5.74,4.76,3,18,6.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,80,100%,0,0%,0,0%,
92,2014,2014-11-27,12,13,26.293,DET,,CHI,W 34-17,*,34,45,75.56,390,2,0,116.0,2,7,8.67,9.56,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,73,100%,0,0%,0,0%,
93,2014,2014-12-07,13,14,26.303,DET,,TAM,W 34-17,*,26,34,76.47,311,3,0,133.3,4,17,9.15,10.91,3,-2,-0.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,69,100%,0,0%,0,0%,
94,2014,2014-12-14,14,15,26.310,DET,,MIN,W 16-14,*,17,28,60.71,153,1,0,87.4,0,0,5.46,6.18,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,51,100%,0,0%,0,0%,
95,2014,2014-12-21,15,16,26.317,DET,@,CHI,W 20-14,*,22,39,56.41,243,0,2,53.7,4,14,6.23,3.92,4,2,0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,72,100%,0,0%,0,0%,
96,2014,2014-12-28,16,17,26.324,DET,@,GNB,L 20-30,*,20,41,48.78,217,3,0,89.2,2,15,5.29,6.76,4,29,7.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,69,100%,0,0%,0,0%,
97,2015,2015-09-13,1,1,27.218,DET,@,SDG,L 28-33,*,19,30,63.33,246,2,2,83.5,1,13,8.20,6.53,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,47,100%,0,0%,0,0%,
98,2015,2015-09-20,2,2,27.225,DET,@,MIN,L 16-26,*,32,53,60.38,286,2,1,79.6,1,1,5.40,5.30,4,20,5.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,78,100%,0,0%,0,0%,
99,2015,2015-09-27,3,3,27.232,DET,,DEN,L 12-24,*,31,45,68.89,282,1,2,74.5,4,20,6.27,4.71,1,-1,-1.00,0,1,1,-6,-6.00,0,100.0%,-6.00,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,74,100%,0,0%,0,0%,
100,2015,2015-10-05,4,4,27.240,DET,@,SEA,L 10-13,*,24,35,68.57,203,0,0,83.4,0,0,5.80,5.80,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,100%,0,0%,0,0%,
101,2015,2015-10-11,5,5,27.246,DET,,ARI,L 17-42,*,20,32,62.50,188,1,3,50.0,1,0,5.88,2.28,1,2,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,53,56%,0,0%,0,0%,
102,2015,2015-10-18,6,6,27.253,DET,,CHI,W 37-34,*,27,42,64.29,405,4,1,117.7,2,14,9.64,10.48,6,37,6.17,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,81,100%,0,0%,0,0%,
103,2015,2015-10-25,7,7,27.260,DET,,MIN,L 19-28,*,18,26,69.23,256,2,0,126.4,7,59,9.85,11.38,1,5,5.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,54,100%,0,0%,0,0%,
104,2015,2015-11-01,8,8,27.267,DET,@,KAN,L 10-45,*,22,36,61.11,217,1,2,64.2,6,32,6.03,4.08,1,5,5.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,56,93%,0,0%,0,0%,
105,2015,2015-11-15,9,10,27.281,DET,@,GNB,W 18-16,*,24,38,63.16,242,2,1,87.8,0,0,6.37,6.24,2,1,0.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,-5,0,65,100%,0,0%,0,0%,
106,2015,2015-11-22,10,11,27.288,DET,,OAK,W 18-13,*,22,35,62.86,282,0,0,88.0,4,16,8.06,8.06,6,31,5.17,1,0,0,0,,0,0.0%,,,1,6,0.0,0,0,0,,,0,0,0,0,0,0,72,100%,0,0%,0,0%,
107,2015,2015-11-26,11,12,27.292,DET,,PHI,W 45-14,*,27,38,71.05,337,5,0,137.8,2,15,8.87,11.50,2,13,6.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,72,100%,0,0%,0,0%,
108,2015,2015-12-03,12,13,27.299,DET,,GNB,L 23-27,*,23,35,65.71,220,2,0,102.1,3,15,6.29,7.43,2,22,11.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,65,100%,0,0%,0,0%,
109,2015,2015-12-13,13,14,27.309,DET,@,STL,L 14-21,*,30,46,65.22,245,2,1,84.1,4,25,5.33,5.22,2,5,2.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,71,100%,0,0%,0,0%,
110,2015,2015-12-21,14,15,27.317,DET,@,NOR,W 35-27,*,22,25,88.00,254,3,0,148.6,3,8,10.16,12.56,4,-1,-0.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,53,100%,0,0%,0,0%,
111,2015,2015-12-27,15,16,27.323,DET,,SFO,W 32-17,*,29,37,78.38,301,2,0,118.6,2,17,8.14,9.22,5,11,2.20,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,71,100%,0,0%,0,0%,
112,2015,2016-01-03,16,17,27.330,DET,@,CHI,W 24-20,*,28,39,71.79,298,3,0,119.4,4,16,7.64,9.18,6,10,1.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,65,100%,0,0%,0,0%,
113,2016,2016-09-11,1,1,28.217,DET,@,IND,W 39-35,*,31,39,79.49,340,3,0,128.6,1,8,8.72,10.26,2,5,2.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,65,100%,0,0%,0,0%,
114,2016,2016-09-18,2,2,28.224,DET,,TEN,L 15-16,*,22,40,55.00,260,1,1,72.9,4,22,6.50,5.88,2,31,15.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,79,100%,0,0%,0,0%,
115,2016,2016-09-25,3,3,28.231,DET,@,GNB,L 27-34,*,28,41,68.29,385,3,1,112.3,3,17,9.39,9.76,2,11,5.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,68,100%,0,0%,0,0%,
116,2016,2016-10-02,4,4,28.238,DET,@,CHI,L 14-17,*,23,36,63.89,213,0,2,56.8,2,16,5.92,3.42,2,17,8.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,
117,2016,2016-10-09,5,5,28.245,DET,,PHI,W 24-23,*,19,25,76.00,180,3,0,135.0,4,16,7.20,9.60,6,16,2.67,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,1,1,0,0,0,0,61,100%,0,0%,0,0%,
118,2016,2016-10-16,6,6,28.252,DET,,LAR,W 31-28,*,23,31,74.19,270,4,0,139.8,1,5,8.71,11.29,5,14,2.80,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,,,0,0,0,0,0,0,62,100%,0,0%,0,0%,
