Rk,Year,Date,G#,Week,Age,Tm,,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Rate,Sk,Yds,Y/A,AY/A,Att,Yds,Y/A,TD,TD,Pts,Sk,Solo,Ast,Comb,TFL,QBHits,Fmb,FL,FF,FR,Yds,TD,Num,Pct,Num,Pct,Num,Pct,Status
53,2023,2023-10-01,4,4,26.295,CIN,@,TEN,L 3-27,*,20,30,66.67,165,0,0,80.6,3,26,5.50,5.50,3,1,0.33,0,0,0,0.0,0,0,0,0,0,1,1,0,0,0,0,53,100%,0,0%,0,0%,
54,2023,2023-10-08,5,5,26.302,CIN,@,ARI,W 34-20,*,36,46,78.26,317,3,1,108.1,3,30,6.89,7.22,4,7,1.75,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,82,100%,0,0%,0,0%,
55,2023,2023-10-15,6,6,26.309,CIN,,SEA,W 17-13,*,24,35,68.57,185,2,1,88.4,3,17,5.29,5.14,2,4,2.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,54,100%,0,0%,0,0%,
56,2023,2023-10-29,7,8,26.323,CIN,@,SFO,W 31-17,*,28,32,87.50,283,3,0,134.8,3,17,8.84,10.72,6,43,7.17,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,63,100%,0,0%,0,0%,
57,2023,2023-11-05,8,9,26.330,CIN,,BUF,W 24-18,*,31,44,70.45,348,2,0,108.9,1,5,7.91,8.82,5,4,0.80,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,70,100%,0,0%,0,0%,
58,2023,2023-11-12,9,10,26.337,CIN,,HOU,L 27-30,*,27,40,67.50,347,2,2,90.3,4,33,8.68,7.43,5,20,4.00,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,64,100%,0,0%,0,0%,
59,2023,2023-11-16,10,11,26.341,CIN,@,BAL,L 20-34,*,11,17,64.71,101,1,0,100.4,2,14,5.94,7.12,1,7,7.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,27,44%,0,0%,0,0%,
67,2024,2024-09-08,1,1,27.273,CIN,,NWE,L 10-16,*,21,29,72.41,164,0,0,86.0,3,10,5.66,5.66,4,15,3.75,0,0,0,0.0,0,0,0,0,0,1,0,0,1,0,0,51,100%,0,0%,0,0%,
68,2024,2024-09-15,2,2,27.280,CIN,@,KAN,L 25-26,*,23,36,63.89,258,2,0,103.7,3,12,7.17,8.28,6,9,1.50,0,0,0,0.0,0,0,0,0,0,2,1,0,1,-2,0,64,100%,0,0%,0,0%,
69,2024,2024-09-23,3,3,27.288,CIN,,WAS,L 33-38,*,29,38,76.32,324,3,0,127.5,2,12,8.53,10.11,1,4,4.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,62,100%,0,0%,0,0%,
70,2024,2024-09-29,4,4,27.294,CIN,@,CAR,W 34-24,*,22,31,70.97,232,2,1,100.5,0,0,7.48,7.32,1,10,10.00,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,67,100%,0,0%,0,0%,
